Year Built,SalePrice
1872,122000
1875,94000
1879,185000
1880,265979
1882,168000
1885,122500
1890,240000
1892,475000
1893,325000
1895,89000
1900,150000
1901,113000
1906,135000
1907,93369
1910,125500
1912,159900
1913,90350
1915,149500
1916,135000
1917,129500
1918,137000
1919,72000
1920,100000
1921,140000
1922,140750
1923,109500
1924,104000
1925,87000
1926,145400
1927,115000
1928,105900
1929,130000
1930,138400
1931,79000
1932,159434
1934,63000
1935,128900
1936,123900
1938,119000
1939,134000
1940,119000
1940,244400
1941,140000
1942,132000
1945,80000
1946,121600
1947,127000
1948,129000
1950,128500
1951,141000
1952,123500
1953,109000
1957,149700
1958,172000
1959,128950
1960,215000
1961,105000
1962,84900
1963,143000
1964,180500
1966,142250
1967,178900
1968,193000
1970,149000
1971,149900
1972,197500
1974,170000
1975,120000
1976,130500
1977,190000
1978,206000
1979,242500
1980,155000
1981,228000
1982,134900
1983,131000
1984,125000
1985,212000
1988,164000
1990,171500
1991,260000
1992,191500
1993,175900
1994,325000
1995,236500
1996,260400
1997,189900
1998,221000
1999,333168
2000,216000
2001,222500
2002,320000
2003,538000
2004,192000
2005,220000
2006,205000
2007,306000
2008,262500
2009,376162
2010,394432
